year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,1.78,3.12,3,1.69,6.4,4.67,1.85,2.36,10.6,1,1.68,5.65,13
1959,1.25,2,1.54,0.53,2.37,1.42,0.95,1.33,0.64,0.58,1.36,5.69,0.8
1960,1.7,2.8,2.27,1.19,4.5,3.38,1.24,1.85,7,0.82,3.33,5.18,11.67
1961,1.44,2.62,2.2,1.06,5.5,2.86,1.4,1.83,9,0.64,1.73,5.37,5
1962,0.91,1.64,1.58,0.79,2,1.4,0.86,1.43,0.57,0.75,1.3,4.94,9.33
1963,1.1,1.27,1.42,1.31,1.71,1.09,0.76,1.29,4.8,1.2,0.97,5.12,4.25
1964,1.33,1,1.15,1,1.5,0.64,0.54,1.13,3.14,2,0.72,4.28,0.83
1965,0.64,0.75,0.71,0.36,0.45,0.39,0.32,0.74,2.7,0.73,0.57,2.64,1.44
1966,0.19,0.33,0.42,0.2,0.19,0.32,0.19,0.46,2.29,0.27,0.56,1.66,0.45
1967,3.12,0.55,0.62,0.67,0.57,0.46,0.3,0.61,2.54,0.41,0.39,2.25,1.12
1968,0.47,0.38,0.5,0.42,0.36,0.33,0.2,0.48,2,0.37,0.28,1.7,1.27
1969,0.77,0.28,0.44,0.3,0.33,0.21,0.16,0.44,1.81,0.67,0.41,1.23,0.23
1970,2.75,0.65,1.11,1.21,1.75,0.83,0.44,0.86,3.64,2.09,0.6,2.09,1.09
1971,3.17,1.21,1.07,0.8,1.78,0.93,0.37,0.89,0.3,2.12,0.42,2.65,4.29
1972,12.86,0.5,0.53,0.27,0.5,0.4,0.17,0.5,1.9,0.78,0.29,2,1.33
1973,0.78,0.28,0.29,0.13,0.2,0.14,0.14,0.33,0.92,0.91,0.43,1.22,0.44
1974,0.62,0.9,0.75,0.56,0.31,0.27,0.42,0.65,3.55,1.11,1.17,0.85,1
