year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,-1.4,-2.4,-2.6,-2.2,-3.5,-2.8,-2,-2.4,-5.7,NA,-2.6,-8.5,-2.9
1959,-1.7,-2,-1.5,-0.2,-1.9,-1.1,-1,-1.5,-4.9,0.1,-3.2,-8.4,0.2
1960,-1.9,-2.6,-2.4,-1.9,-2.6,-2.8,-1.8,-2.1,-4.1,-0.5,-6.7,-7.6,-4
1961,-0.9,-2.1,-2,-1.3,-3.2,-2,-1.5,-1.8,-4.9,-0.2,-3,-7.5,-2
1962,-0.4,-1.9,-1.5,-1.3,-1.3,-1.2,-1.1,-1.6,-3.7,NA,-2.1,-7,-3.3
1963,-0.8,-0.9,-1.5,-2.3,-1.1,-1.1,-0.9,-1.5,-2.8,-1.1,-2,-7,-2.1
1964,-1.2,-1,-1.2,-1.4,-0.9,-0.6,-0.7,-1.3,-2.1,-2.3,-1.1,-5.4,-0.3
1965,0.2,-0.9,-0.8,0.1,0,-0.4,-0.5,-1,-2.3,-0.7,-1.5,-3.9,-1.7
1966,1,-0.3,-0.6,0,0.1,-0.8,-0.4,-0.8,-3.2,0.6,-3.4,-3.9,-0.7
1967,-0.1,-1.5,-1.3,-2.4,-1.2,-1.6,-1.1,-1.3,-3.4,0.1,-1,-4.3,-1.3
1968,-0.9,-0.9,-1.2,-1.5,-0.5,-1.1,-0.4,-1.1,-2.4,-0.6,-0.6,-3.7,-2
1969,-1.4,-0.9,-1.2,-1,-0.5,-0.7,-0.8,-1.2,-3.2,-2.1,-2.3,-3,-0.5
1970,-2.8,-1.6,-2.4,-3.6,-2.5,-2.6,-1.8,-2,-4.6,-3.1,-2.2,-4.4,-1.9
1971,-2.3,-2.1,-1.7,-1.7,-1.9,-1.7,-0.8,-1.6,-2.8,-2.1,-0.1,-4.7,-3.6
1972,-1,-0.9,-0.7,-0.5,-0.2,-0.7,-0.2,-0.9,-1.9,-0.6,-0.4,-3.9,-1.3
1973,-0.6,-0.9,-0.5,-0.1,-0.1,-0.2,-0.6,-0.7,-1.1,-1.3,-2.5,-2.7,-0.4
1974,-0.4,-2.7,-1.7,-2.2,-0.3,-0.8,-2.1,-1.6,-4.6,-1.1,-5,-1.6,-1.2
