year,aircraft,appliances,communication,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,515.3,112.6,166.1,6579,133.9,35.2,162.7,298.7,11997,452.5,82.4,23.6,103.1,432.2
1959,476.2,121.8,187.2,7033,160.9,37.3,181.5,321,12603,537.5,98,28.9,97.1,414.7
1960,407.4,119.4,206.5,7028,170,34.5,173.3,318.5,12586,563.3,101.9,26.2,92,470.5
1961,351.7,112.9,209,6618,176.7,31.3,156.6,303.9,12083,479.1,110.6,24.3,96.3,424.7
1962,356.4,114.8,229.5,6935,198.2,33.1,163.7,319.6,12488,534,119.3,28.6,96.4,421.4
1963,358.2,119.3,218.4,7027,192,33,168.2,324.1,12555,573.6,115.2,34.8,97.4,424.6
1964,352.7,124.3,201.4,7213,194,33.7,181.9,337,12781,579.2,104.1,41.8,97.9,458.4
1965,339.2,129.7,209.2,7715,232.6,36.2,194.6,357.4,13434,658.9,96.1,47.1,108,477.4
1966,402.5,141.7,235.2,8370,297.9,40.8,205.8,382.5,14297,670.3,127.3,52.2,119.5,467.2
1967,489.5,137.5,252.5,8364,280.1,40.6,195.3,374.9,14308,626.9,174.1,55.3,114.8,447.8
1968,519.8,142.4,258,8457,270.1,39.8,189,389.7,14514,680.8,191.7,71,115.4,445.1
1969,485.6,148.2,258.6,8651,276,40.7,197.6,401.6,14767,708,181.8,87,115.7,450
1970,421.9,146.4,249.3,8042,244.9,37.6,190.2,378.8,14020,604.2,131.5,91.5,106.7,437.1
1971,321.7,141,225.1,7622,215.5,35.8,180.2,379.1,13467,651.3,95.8,108.6,104.7,394.9
1972,270,147.7,221.3,8005,240.2,37.1,184.9,416.2,13957,668.6,91.3,135.5,109.8,393.6
1973,287.3,155.9,236.4,8691,284.3,40.8,200.7,442.2,14760,743.4,92.1,137.3,114,418.1
1974,295.1,146.7,237.1,8641,284.2,42.4,207,423.1,14613,682.3,84.9,103.4,121.2,418.7
