year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,manufacturing,motor,ordnance,ship,transport
1958,2.5,2.28,2.91,2.26,1.79,2.7,2.31,1.78,2.11,2.55,2.51,2.58,1.93
1959,2.62,2.36,3.1,2.36,1.85,2.86,2.42,1.83,2.19,2.71,2.57,2.71,1.99
1960,2.7,2.43,3.08,2.43,1.93,2.93,2.49,1.88,2.26,2.81,2.65,2.81,2.06
1961,2.77,2.52,3.2,2.49,2,3,2.54,1.91,2.32,2.86,2.75,2.93,2.13
1962,2.87,2.58,3.29,2.56,2.05,3.1,2.63,1.95,2.39,2.99,2.83,3.01,2.15
1963,2.95,2.63,3.36,2.63,2.09,3.21,2.71,2,2.46,3.1,2.93,3.12,2.24
1964,3.02,2.65,3.41,2.71,2.16,3.31,2.8,2.05,2.53,3.21,3.03,3.15,2.29
1965,3.14,2.78,3.46,2.79,2.21,3.47,2.89,2.12,2.61,3.34,3.13,3.16,2.31
1966,3.31,2.87,3.58,2.9,2.28,3.61,2.99,2.21,2.72,3.44,3.17,3.32,2.4
1967,3.45,2.98,3.62,3,2.4,3.66,3.07,2.33,2.83,3.55,3.18,3.44,2.54
1968,3.62,3.15,3.82,3.19,2.55,3.92,3.33,2.47,3.01,3.9,3.26,3.58,2.77
1969,3.86,3.28,4.09,3.38,2.67,4.16,3.56,2.62,3.19,4.1,3.42,3.81,2.91
1970,4.11,3.43,4.22,3.55,2.85,4.32,3.72,2.77,3.36,4.22,3.61,3.96,3.07
1971,4.32,3.67,4.57,3.79,2.99,4.62,4.04,2.9,3.57,4.72,3.81,4.12,3.31
1972,4.65,3.86,5.15,4.06,3.11,5.04,4.36,3.06,3.81,5.12,4.08,4.36,3.5
1973,5.01,4.06,5.56,4.34,3.26,5.43,4.77,3.26,4.08,5.46,4.35,4.61,3.69
1974,5.4,4.25,6.37,4.69,3.51,5.81,5.06,3.5,4.41,5.9,4.71,4.98,3.88
