year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,0.39,0.17,0.15,-0.32,0.59,0.2,-0.33,0,0.44,0.4,-0.18,0.47,0.8
1959,0.43,0.17,0.17,-0.34,0.67,0.23,-0.36,0,0.52,0.38,-0.2,0.52,0.91
1960,0.44,0.17,0.17,-0.33,0.67,0.23,-0.38,0,0.55,0.39,-0.2,0.55,0.82
1961,0.45,0.2,0.17,-0.32,0.68,0.22,-0.41,0,0.54,0.43,-0.19,0.61,0.88
1962,0.48,0.19,0.17,-0.34,0.71,0.24,-0.44,0,0.6,0.44,-0.24,0.62,0.9
1963,0.49,0.17,0.17,-0.37,0.75,0.25,-0.46,0,0.64,0.47,-0.22,0.66,0.9
1964,0.49,0.12,0.18,-0.37,0.78,0.27,-0.48,0,0.68,0.5,-0.24,0.62,0.88
1965,0.53,0.17,0.18,-0.4,0.86,0.28,-0.49,0,0.73,0.52,-0.3,0.55,0.85
1966,0.59,0.15,0.18,-0.44,0.89,0.27,-0.51,0,0.72,0.45,-0.32,0.6,0.86
1967,0.62,0.15,0.17,-0.43,0.83,0.24,-0.5,0,0.72,0.35,-0.29,0.61,0.79
1968,0.61,0.14,0.18,-0.46,0.91,0.32,-0.54,0,0.89,0.25,-0.24,0.57,0.81
1969,0.67,0.09,0.19,-0.52,0.97,0.37,-0.57,0,0.91,0.23,-0.28,0.62,0.9
1970,0.75,0.07,0.19,-0.51,0.96,0.36,-0.59,0,0.86,0.25,-0.29,0.6,0.86
1971,0.75,0.1,0.22,-0.58,1.05,0.47,-0.67,0,1.15,0.24,-0.26,0.55,1
1972,0.84,0.05,0.25,-0.7,1.23,0.55,-0.75,0,1.31,0.27,-0.31,0.55,1.34
1973,0.93,-0.02,0.26,-0.82,1.35,0.69,-0.82,0,1.38,0.27,-0.39,0.53,1.48
1974,0.99,-0.16,0.28,-0.9,1.4,0.65,-0.91,0,1.49,0.3,-0.53,0.57,1.96
