year,aircraft,appliances,communication,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,1.18,1.08,1.08,1.07,0.85,1.28,1.09,0.84,1,1.21,1.19,0.91,1.22,1.38
1959,1.2,1.08,1.09,1.08,0.84,1.31,1.11,0.84,1,1.24,1.17,0.91,1.24,1.42
1960,1.19,1.08,1.08,1.08,0.85,1.3,1.1,0.83,1,1.24,1.17,0.91,1.24,1.36
1961,1.19,1.09,1.09,1.07,0.86,1.29,1.09,0.82,1,1.23,1.19,0.92,1.26,1.38
1962,1.2,1.08,1.08,1.07,0.86,1.3,1.1,0.82,1,1.25,1.18,0.9,1.26,1.38
1963,1.2,1.07,1.08,1.07,0.85,1.3,1.1,0.81,1,1.26,1.19,0.91,1.27,1.37
1964,1.19,1.05,1.08,1.07,0.85,1.31,1.11,0.81,1,1.27,1.2,0.91,1.25,1.35
1965,1.2,1.07,1.08,1.07,0.85,1.33,1.11,0.81,1,1.28,1.2,0.89,1.21,1.33
1966,1.22,1.06,1.07,1.07,0.84,1.33,1.1,0.81,1,1.26,1.17,0.88,1.22,1.32
1967,1.22,1.05,1.08,1.06,0.85,1.29,1.08,0.82,1,1.25,1.12,0.9,1.22,1.28
1968,1.2,1.05,1.07,1.06,0.85,1.3,1.11,0.82,1,1.3,1.08,0.92,1.19,1.27
1969,1.21,1.03,1.08,1.06,0.84,1.3,1.12,0.82,1,1.29,1.07,0.91,1.19,1.28
1970,1.22,1.02,1.08,1.06,0.85,1.29,1.11,0.82,1,1.26,1.07,0.91,1.18,1.26
1971,1.21,1.03,1.06,1.06,0.84,1.29,1.13,0.81,1,1.32,1.07,0.93,1.15,1.28
1972,1.22,1.01,1.07,1.07,0.82,1.32,1.14,0.8,1,1.34,1.07,0.92,1.14,1.35
1973,1.23,1,1.07,1.06,0.8,1.33,1.17,0.8,1,1.34,1.07,0.9,1.13,1.36
1974,1.22,0.96,1.07,1.06,0.8,1.32,1.15,0.79,1,1.34,1.07,0.88,1.13,1.44
