year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,manufacturing,motor,ordnance,ship,transport
1958,101.25,89.83,108.54,89.27,69.81,102.87,86.86,69.95,82.71,101.24,102.41,100.88,76.24
1959,106.63,94.87,123.38,96.05,74,114.11,97.04,74.48,88.26,111.38,106.14,106.23,80.4
1960,110.43,96.23,117.04,97.44,76.24,115.74,96.61,75.2,89.72,115.21,108.39,110.43,80.13
1961,114.68,101.3,123.84,100.35,80.4,119.1,98.81,76.4,92.34,114.69,113.03,117.2,83.71
1962,119.97,104.23,128.31,104.7,82,126.48,106.52,79.37,96.56,127.67,116.6,121.6,86.22
1963,122.43,107.3,134.4,108.09,82.76,131.93,113.28,81.8,99.63,132.68,120.42,127.92,91.84
1964,125.03,107.33,140.15,112.19,86.18,137.7,119.84,84.46,102.97,138.03,122.72,128.21,93.89
1965,131.88,114.54,141.86,117.18,89.28,148.86,125.72,88.19,107.53,147.63,131.15,127.98,93.09
1966,143.32,118.82,145.71,122.09,92.11,154.51,128.57,91.72,112.34,147.23,133.77,137.78,95.52
1967,146.97,120.09,145.16,123.6,94.08,150.06,127.71,94.13,114.9,144.84,132.61,139.32,102.11
1968,152.04,127.89,155.86,132.07,100.73,162.68,139.86,100.28,122.51,168.09,135.29,144.99,111.08
1969,161.35,133.17,168.51,139.59,105.2,175.55,150.23,105.85,129.51,170.56,138.17,155.07,115.53
1970,168.51,136.86,168.38,143.07,110.87,172.8,151.03,108.58,133.73,170.07,146.21,158,118.81
1971,175.82,147.9,181.43,153.12,117.21,183.41,164.43,115.42,142.44,194.46,158.5,162.74,129.75
1972,193.44,157.49,210.12,167.68,124.4,209.66,183.99,123.93,154.69,220.16,171.36,172.66,138.95
1973,207.92,163.21,230.74,180.11,130.07,236.75,206.54,130.07,166.06,237.51,181.83,178.41,142.8
1974,218.7,169.58,263.08,190.88,136.89,246.34,213.03,136.5,176.4,239.54,196.41,189.74,148.6
