year,aircraft,appliances,communication,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,0.12,0.54,0.34,0.01,0.73,1.13,0.31,0.36,0.01,0.08,0.63,6.6,1.39,0.04
1959,0.17,0.7,0.35,0.01,0.89,1.73,0.57,0.49,0.01,1.16,0.59,8.05,1.36,0.1
1960,0.16,0.64,0.34,0.01,0.69,1.39,0.39,0.44,0.01,0.08,0.5,6.46,1.52,0.05
1961,0.15,0.54,0.3,0.01,0.66,1.53,0.37,0.41,0.01,0.08,0.45,7.26,1.38,0.06
1962,0.17,0.73,0.29,0.01,0.71,1.7,0.52,0.55,0.01,0.87,0.45,7.63,1.4,0.06
1963,0.16,0.71,0.28,0.01,0.61,1.69,0.56,0.54,0.01,0.07,0.38,6.81,1.39,0.08
1964,0.15,0.75,0.24,0.01,0.64,1.92,0.66,0.59,0.01,0.09,0.37,7.1,1.54,0.11
1965,0.18,0.97,0.26,0.02,0.72,2.49,0.79,0.72,0.01,0.12,0.49,7.33,1.71,0.16
1966,0.21,1.33,0.34,0.02,0.77,3.23,1.16,0.93,0.01,0.16,0.57,8.52,2.02,0.19
1967,0.19,1.14,0.29,0.02,0.62,2.79,1.04,0.81,0.01,0.16,0.54,7.29,1.71,0.14
1968,0.18,1.17,0.29,0.02,0.63,2.83,1.2,0.87,0.01,0.15,0.56,6.38,1.91,0.2
1969,0.16,1.34,0.29,0.02,0.69,3.56,1.45,0.93,0.01,0.18,0.57,5.35,2.11,0.23
1970,0.12,1.09,0.26,0.02,0.52,2.53,1.05,0.7,0.01,0.14,0.45,3.77,1.66,0.2
1971,0.11,0.78,0.18,0.01,0.46,2,0.69,0.65,0.01,0.95,0.42,2.73,1.53,0.14
1972,0.14,0.97,0.21,0.02,0.62,2.19,0.9,0.79,0.01,0.12,0.49,3.01,1.52,0.12
1973,0.17,1.27,0.24,0.02,0.72,3.01,1.21,0.92,0.01,0.14,0.6,3.34,1.88,0.17
1974,0.15,1.12,0.24,0.02,0.58,3.07,1.05,0.77,0.01,0.12,0.51,3.22,1.69,0.13
