year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,2.8,3.8,4.1,3.9,4.1,3.8,4.2,4.1,6.6,NA,5.9,12.1,3.2
1959,3.2,3.9,4,3.6,3.2,3.5,4.4,4.1,6.7,2.4,7.5,11.4,1.4
1960,3.3,4.3,4.3,4.3,3.7,4,4.6,4.3,5.5,2.4,9.9,11.2,4.3
1961,2.6,3.6,3.9,4.1,4.4,3.4,4.3,4,5.8,2.3,6.9,10.8,2.4
1962,2.5,3.7,3.8,4.3,2.5,3.2,4.6,4.1,5.2,2.7,7.4,10.2,3.7
1963,2.5,3.2,3.6,4.6,2.5,3.2,4.4,3.9,4.2,2.7,7.1,10.6,2.8
1964,2.6,3.1,3.6,4.1,2.5,3.3,4.6,3.9,4.1,3.4,7.5,10.2,1.8
1965,2.3,3.6,3.8,4,2.2,3.6,5.1,4.1,4.7,2.5,8,9,3
1966,2.6,4.4,4.4,4.7,2.8,4.8,6.3,4.6,5.7,2.7,10.4,8.9,2.4
1967,2.7,4.2,4.3,5.1,3,4.7,5.8,4.6,5.5,3.2,8.7,8.9,2.5
1968,2.7,4.1,4.4,4.5,2.7,4.8,6,4.6,5,3.4,9,8.6,3.5
1969,2.8,4.4,4.6,4.7,3.4,5.6,6.5,4.9,5.7,3.9,10,8,2.7
1970,3.5,4.4,4.7,5.3,4.2,5.6,5.7,4.8,6.1,4,8.5,8.1,3.3
1971,3,4.1,3.9,3.7,3.1,3.9,5.2,4.2,4,3,6.5,8.6,4.6
1972,2,3.9,3.7,3.8,2.3,3.9,5.9,4.2,3.8,2.2,7.8,7.8,2.2
1973,2.1,4.5,4.1,4.5,2.8,4.7,6.9,4.6,3.5,2.7,9.6,7.5,2.1
1974,1.9,5.4,4.5,5,3.1,4.7,6.9,4.8,6.1,2.5,10.6,6.5,2.3
