year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1959,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1960,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1961,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1962,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1963,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1964,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1965,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1966,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1967,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1968,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1969,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1970,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1971,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1972,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1973,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
1974,censusMIC,nonMIC,macro,censusMIC,other,other,nonMIC,macro,censusMIC,censusMIC,other,censusMIC,MICplus
