year,aircraft,appliances,communication,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,107.1,31.3,108.5,1671,123.1,2.7,9.6,66.6,4359,66.5,38.2,4.2,3.6,20.6
1960,93,30.9,121.9,1681,131.3,2.6,9.5,65,4372,68.4,42.3,3.9,3.5,22.2
1961,88.8,29.1,128.8,1642,136.8,2.4,8.8,63.4,4292,60.2,47,3.5,3.6,20.4
1962,92.1,30,146.8,1749,153.9,2.4,8.8,66.9,4474,63.6,51.2,4,3.5,19.9
1963,88.3,31.7,142.9,1746,149.6,2.4,8.8,67.8,4482,68.2,49.5,4.9,3.6,18.8
1964,80.3,32.6,134.4,1756,151.5,2.2,8.9,71.5,4537,67.4,44.2,5.7,3.7,19.1
1965,82.7,35.1,140.1,1889,181,2.3,10,77.5,4768,69.6,40.4,6.1,3.9,19.6
1966,107.3,41,162.2,2182,233.6,2.6,11.6,92.5,5214,73.7,52.8,7.3,4.5,19.9
1967,127,40.4,176.3,2277,222.9,3,12.2,98,5353,72,73.8,8.5,5.4,20.5
1968,128.4,42.1,179.8,2338,215.5,3.1,11.5,107,5490,71.4,87.1,11.1,5.5,20.7
1969,119.1,47.3,185.3,2446,222.1,3,11.7,116.8,5667,76.5,84.2,13.7,5.8,21.5
1970,94.6,47.9,179.5,2278,195,2.9,11.9,111.8,5436,70.7,61.4,15.2,5.6,21.9
1971,72.7,45.6,159.7,2111,171.1,2.6,10.7,115,5191,72.6,44.2,17.3,5.8,20.1
1972,70.7,49.8,158,2259,193.1,2.4,10.2,130.2,5411,75.7,42,22.8,6.8,18.8
1973,77.9,57,169.3,2547,232.9,2.7,12,146.6,5803,92.6,43.9,26.6,8.3,20.3
1974,83.6,58,171.1,2606,235.8,3,13.6,146.1,5819,87.4,43.1,22.6,10.3,22.1
