year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,14.86,19.94,17.83,57.71,5.83,4.53,17.3,26.14,9.61,18.77,12.07,3.06,4
1960,14.81,19.88,17.77,56.23,6.02,4.64,16.97,26.03,9.45,19.23,12,3.13,3.85
1961,14.56,19.64,18.1,56.3,6.11,4.71,17.25,26.29,9.52,19.25,11.55,3.1,3.87
1962,14.43,19.96,18.45,57.84,5.83,4.55,17.37,26.55,9.19,19.36,11.3,3.05,3.81
1963,13.81,20.39,18.16,56.99,5.8,4.44,17.39,26.37,9.2,18.64,11.5,3.12,3.62
1964,13.26,20.32,17.89,57.21,5.29,4.19,17.62,26.26,8.95,18.12,11.24,3.17,3.43
1965,13.25,21.23,18.15,58.94,5.22,4.41,17.99,26.4,8.26,17.89,10.65,3.03,3.38
1966,14.24,22.79,19.34,60.11,5.24,4.82,20.04,27.14,8.55,20.24,11.51,3.13,3.48
1967,15.24,23.11,19.91,57.91,5.98,5.27,21.52,27.53,8.83,23.27,12.65,3.86,3.69
1968,15.07,23.48,20.11,56.5,6.26,5.1,22.69,27.75,8.17,25.77,13.12,3.9,3.73
1969,14.81,25.31,20.56,56.37,5.93,4.98,24.14,28.1,8.39,26.63,13.09,4.08,3.83
1970,14.15,26.06,20.35,53.44,6.12,5.2,24.31,28.09,8.87,25.38,13.64,4.22,4.01
1971,13.63,25.5,19.92,52.84,5.79,4.91,24.95,27.95,8.62,23.17,13.12,4.44,4.04
1972,13.84,26.79,20.53,54.38,5.25,4.59,25.86,28.34,8.91,22.96,14,4.92,3.82
1973,14.63,29.04,21.51,55.69,5.42,5.03,27.38,28.92,9.69,24.04,15.86,5.77,3.92
1974,15.4,30.83,21.91,54.98,5.76,5.5,28.28,29.03,9.81,24.42,17.3,6.69,4.23
