year,aircraft,appliances,durgoods,electronics,forgings,foundries,furniture,manufacturing,motor,ordnance,other_transport,ship,steel
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,-0.35,-0.26,-0.32,-2.57,3.21,2.39,-1.89,-0.42,-1.66,2.43,-0.57,2.18,-3.77
1961,-1.67,-1.25,1.87,0.12,1.47,1.56,1.65,1,0.79,0.1,-3.74,-0.87,0.72
1962,-0.95,1.65,1.91,2.73,-4.61,-3.56,0.7,0.98,-3.42,0.61,-2.18,-1.59,-1.67
1963,-4.25,2.13,-1.58,-1.46,-0.48,-2.27,0.1,-0.66,0.06,-3.72,1.8,2.06,-5.11
1964,-3.98,-0.3,-1.48,0.39,-8.77,-5.63,1.3,-0.41,-2.7,-2.8,-2.26,1.63,-5.1
1965,-0.11,4.48,1.47,3.02,-1.38,5.08,2.15,0.51,-7.74,-1.27,-5.31,-4.49,-1.54
1966,7.51,7.33,6.52,1.99,0.51,9.35,11.39,2.8,3.57,13.11,8.16,3.57,3.09
1967,6.96,1.41,2.94,-3.66,14.01,9.49,7.37,1.44,3.18,14.96,9.85,23.09,5.96
1968,-1.08,1.59,1.03,-2.43,4.79,-3.4,5.43,0.83,-7.41,10.76,3.73,1.13,0.98
1969,-1.75,7.78,2.25,-0.23,-5.33,-2.33,6.38,1.25,2.71,3.34,-0.27,4.71,2.83
1970,-4.45,2.98,-1.05,-5.2,3.19,4.46,0.74,-0.02,5.64,-4.68,4.28,3.32,4.62
1971,-3.64,-2.14,-2.1,-1.12,-5.35,-5.54,2.59,-0.51,-2.83,-8.73,-3.87,5.24,0.82
1972,1.53,5.04,3.03,2.91,-9.31,-6.48,3.68,1.41,3.45,-0.87,6.71,10.87,-5.44
1973,5.67,8.39,4.82,2.41,3.24,9.42,5.85,2.02,8.75,4.7,13.33,17.14,2.46
1974,5.28,6.19,1.83,-1.28,6.21,9.44,3.29,0.39,1.22,1.57,9.1,16.03,8.12
