year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,771,147.7,531.4,8830,178.9,44.4,192.4,360.8,606.5,158.1,122.7,28.8
1959,720.6,157,515.3,9373,213.3,46.3,211.8,385,692.3,203.5,117.5,34.8
1960,627.9,155.4,577.1,9459,233.5,43.2,204.7,383,724.1,220,111.8,32.5
1961,609.7,148.2,526.5,9070,243,39.3,186.7,367.5,632.3,244.2,116,30.3
1962,638.4,150.3,522.3,9480,266.1,41.2,193.6,385.1,691.7,264.4,114.6,35.4
1963,639.2,155.5,520,9616,262.5,41.4,198.1,389.9,741.3,265.5,115.5,42.6
1964,605.4,160.4,556.7,9816,264.8,41.6,212.3,405.9,752.9,243.9,116.8,50.7
1965,624.2,165.3,580.2,10406,307.1,44.1,227,430.7,842.7,225.8,128.9,57.3
1966,753.3,179.9,571.4,11284,388.6,49.6,240.8,461.5,861.6,260.9,143.6,63.4
1967,833.6,174.8,555.5,11439,384.9,50.2,231.3,455.4,815.8,317.2,140,67.2
1968,852,179.3,555.5,11626,381.4,49.5,225.7,471.6,873.7,338,141,84.6
1969,804.4,186.9,561.1,11895,394,50.6,235.1,483.9,911.4,316.2,142,104.7
1970,668.7,183.8,546.3,11195,364.9,47.4,228.9,459.8,797.3,241.9,132.7,111.4
1971,533.3,178.8,497.3,10597,323.8,44.9,217.9,461,842.6,190.8,130.6,131.9
1972,510.8,185.9,491.9,11006,355.1,45.7,222.1,503.4,849.3,182.9,138.1,162.9
1973,532.6,196.3,518.4,11839,418.2,49.8,238.8,535.5,955.3,182.6,143.9,167.7
1974,542.9,188.1,522,11895,428.9,52.1,247.3,516.7,890.8,176.5,153.9,130.6
