year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,-6.54,6.3,-3.03,6.15,19.23,4.28,10.08,6.71,14.15,28.72,-4.24,20.83
1960,-12.86,-1.02,11.99,0.92,9.47,-6.7,-3.35,-0.52,4.59,8.11,-4.85,-6.61
1961,-2.9,-4.63,-8.77,-4.11,4.07,-9.03,-8.79,-4.05,-12.68,11,3.76,-6.77
1962,4.71,1.42,-0.8,4.52,9.51,4.83,3.7,4.79,9.39,8.27,-1.21,16.83
1963,0.13,3.46,-0.44,1.43,-1.35,0.49,2.32,1.25,7.17,0.42,0.79,20.34
1964,-5.29,3.15,7.06,2.08,0.88,0.48,7.17,4.1,1.56,-8.14,1.13,19.01
1965,3.11,3.05,4.22,6.01,15.97,6.01,6.92,6.11,11.93,-7.42,10.36,13.02
1966,20.68,8.83,-1.52,8.44,26.54,12.47,6.08,7.15,2.24,15.54,11.4,10.65
1967,10.66,-2.83,-2.78,1.37,-0.95,1.21,-3.95,-1.32,-5.32,21.58,-2.51,5.99
1968,2.21,2.57,0,1.63,-0.91,-1.39,-2.42,3.56,7.1,6.56,0.71,25.89
1969,-5.59,4.24,1.01,2.31,3.3,2.22,4.16,2.61,4.31,-6.45,0.71,23.76
1970,-16.87,-1.66,-2.64,-5.88,-7.39,-6.32,-2.64,-4.98,-12.52,-23.5,-6.55,6.4
1971,-20.25,-2.72,-8.97,-5.34,-11.26,-5.27,-4.81,0.26,5.68,-21.12,-1.58,18.4
1972,-4.22,3.97,-1.09,3.86,9.67,1.78,1.93,9.2,0.8,-4.14,5.74,23.5
1973,4.27,5.59,5.39,7.57,17.77,8.97,7.52,6.38,12.48,-0.16,4.2,2.95
1974,1.93,-4.18,0.69,0.47,2.56,4.62,3.56,-3.51,-6.75,-3.34,6.95,-22.12
