year,aircraft,communication,electronics,ordnance,ship
1958,771,296.1,178.9,158.1,122.7
1959,720.6,339.7,213.3,203.5,117.5
1960,627.9,382.3,233.5,220,111.8
1961,609.7,404.7,243,244.2,116
1962,638.4,444.9,266.1,264.4,114.6
1963,639.2,435.8,262.5,265.5,115.5
1964,605.4,408.6,264.8,243.9,116.8
1965,624.2,416.8,307.1,225.8,128.9
1966,753.3,467.7,388.6,260.9,143.6
1967,833.6,510.9,384.9,317.2,140
1968,852,522.5,381.4,338,141
1969,804.4,526.3,394,316.2,142
1970,668.7,500,364.9,241.9,132.7
1971,533.3,447.1,323.8,190.8,130.6
1972,510.8,436.1,355.1,182.9,138.1
1973,532.6,451.7,418.2,182.6,143.9
1974,542.9,457.8,428.9,176.5,153.9
