year,aircraft,communication,electronics,ordnance,ship
1958,NA,NA,NA,NA,NA
1959,-6.54,14.72,19.23,28.72,-4.24
1960,-12.86,12.54,9.47,8.11,-4.85
1961,-2.9,5.86,4.07,11,3.76
1962,4.71,9.93,9.51,8.27,-1.21
1963,0.13,-2.05,-1.35,0.42,0.79
1964,-5.29,-6.24,0.88,-8.14,1.13
1965,3.11,2.01,15.97,-7.42,10.36
1966,20.68,12.21,26.54,15.54,11.4
1967,10.66,9.24,-0.95,21.58,-2.51
1968,2.21,2.27,-0.91,6.56,0.71
1969,-5.59,0.73,3.3,-6.45,0.71
1970,-16.87,-5,-7.39,-23.5,-6.55
1971,-20.25,-10.58,-11.26,-21.12,-1.58
1972,-4.22,-2.46,9.67,-4.14,5.74
1973,4.27,3.58,17.77,-0.16,4.2
1974,1.93,1.35,2.56,-3.34,6.95
