year,aircraft,communication,electronics,ordnance,ship
1958,0.21,0.41,1.23,0.63,7.82
1959,0.21,0.15,0.47,0.34,7.74
1960,0.27,0.18,0.81,0.41,7.87
1961,0.21,1.98,0.7,0.29,7.41
1962,0.16,0.13,0.56,0.34,6.89
1963,0.17,0.28,0.8,0.45,7.1
1964,0.2,0.27,0.64,0.74,6.59
1965,0.11,0.14,0.26,0.35,4.5
1966,0.04,0.09,0.15,0.15,3.34
1967,0.6,0.08,0.42,0.22,3.86
1968,0.08,0.11,0.26,0.21,3.26
1969,0.12,0.11,0.2,0.38,2.61
1970,0.33,0.3,0.63,0.95,3.47
1971,0.36,0.25,0.37,0.89,4.06
1972,1.76,0.14,0.17,0.38,3.04
1973,0.13,0.07,0.1,0.55,2.29
1974,0.09,0.11,0.33,0.57,1.43
