year,aircraft,electronics,motor,ordnance,ship
1958,1.78,1.69,10.6,1,5.65
1959,1.25,0.53,0.64,0.58,5.69
1960,1.7,1.19,7,0.82,5.18
1961,1.44,1.06,9,0.64,5.37
1962,0.91,0.79,0.57,0.75,4.94
1963,1.1,1.31,4.8,1.2,5.12
1964,1.33,1,3.14,2,4.28
1965,0.64,0.36,2.7,0.73,2.64
1966,0.19,0.2,2.29,0.27,1.66
1967,3.12,0.67,2.54,0.41,2.25
1968,0.47,0.42,2,0.37,1.7
1969,0.77,0.3,1.81,0.67,1.23
1970,2.75,1.21,3.64,2.09,2.09
1971,3.17,0.8,0.3,2.12,2.65
1972,12.86,0.27,1.9,0.78,2
1973,0.78,0.13,0.92,0.91,1.22
1974,0.62,0.56,3.55,1.11,0.85
