year,aircraft,electronics,motor,ordnance,ship
1958,2.11,2.11,2.11,2.11,2.11
1959,2.19,2.19,2.19,2.19,2.19
1960,2.26,2.26,2.26,2.26,2.26
1961,2.32,2.32,2.32,2.32,2.32
1962,2.39,2.39,2.39,2.39,2.39
1963,2.46,2.46,2.46,2.46,2.46
1964,2.53,2.53,2.53,2.53,2.53
1965,2.61,2.61,2.61,2.61,2.61
1966,2.72,2.72,2.72,2.72,2.72
1967,2.83,2.83,2.83,2.83,2.83
1968,3.01,3.01,3.01,3.01,3.01
1969,3.19,3.19,3.19,3.19,3.19
1970,3.36,3.36,3.36,3.36,3.36
1971,3.57,3.57,3.57,3.57,3.57
1972,3.81,3.81,3.81,3.81,3.81
1973,4.08,4.08,4.08,4.08,4.08
1974,4.41,4.41,4.41,4.41,4.41
