year,aircraft,communication,electronics,ordnance,ship
1958,-1.4,-0.8,-2.2,NA,-8.5
1959,-1.7,0.1,-0.2,0.1,-8.4
1960,-1.9,-0.3,-1.9,-0.5,-7.6
1961,-0.9,-0.6,-1.3,-0.2,-7.5
1962,-0.4,-0.2,-1.3,NA,-7
1963,-0.8,-1.8,-2.3,-1.1,-7
1964,-1.2,-1.3,-1.4,-2.3,-5.4
1965,0.2,-0.3,0.1,-0.7,-3.9
1966,1,0.1,0,0.6,-3.9
1967,-0.1,-0.4,-2.4,0.1,-4.3
1968,-0.9,-1,-1.5,-0.6,-3.7
1969,-1.4,-0.6,-1,-2.1,-3
1970,-2.8,-2.1,-3.6,-3.1,-4.4
1971,-2.3,-1.8,-1.7,-2.1,-4.7
1972,-1,-0.8,-0.5,-0.6,-3.9
1973,-0.6,-0.4,-0.1,-1.3,-2.7
1974,-0.4,-0.7,-2.2,-1.1,-1.6
