year,aircraft,communication,electronics,ordnance,ship
1958,2.5,2.28,1.79,2.51,2.58
1959,2.62,2.38,1.85,2.57,2.71
1960,2.7,2.44,1.93,2.65,2.81
1961,2.77,2.53,2,2.75,2.93
1962,2.87,2.59,2.05,2.83,3.01
1963,2.95,2.65,2.09,2.93,3.12
1964,3.02,2.74,2.16,3.03,3.15
1965,3.14,2.82,2.21,3.13,3.16
1966,3.31,2.91,2.28,3.17,3.32
1967,3.45,3.07,2.4,3.18,3.44
1968,3.62,3.23,2.55,3.26,3.58
1969,3.86,3.46,2.67,3.42,3.81
1970,4.11,3.62,2.85,3.61,3.96
1971,4.32,3.8,2.99,3.81,4.12
1972,4.65,4.09,3.11,4.08,4.36
1973,5.01,4.36,3.26,4.35,4.61
1974,5.4,4.7,3.51,4.71,4.98
