year,aircraft,communication,electronics,ordnance,ship
1958,0.24,0.02,-0.47,0.25,0.32
1959,0.26,0.02,-0.51,0.21,0.35
1960,0.27,0.01,-0.5,0.22,0.38
1961,0.28,0.04,-0.49,0.26,0.44
1962,0.31,0.03,-0.51,0.27,0.45
1963,0.32,0.02,-0.54,0.3,0.49
1964,0.31,0.03,-0.55,0.32,0.44
1965,0.35,0.03,-0.58,0.34,0.37
1966,0.41,0.01,-0.62,0.27,0.42
1967,0.45,0.07,-0.6,0.18,0.44
1968,0.43,0.04,-0.64,0.07,0.39
1969,0.48,0.08,-0.71,0.04,0.43
1970,0.56,0.07,-0.7,0.06,0.41
1971,0.53,0.01,-0.8,0.02,0.33
1972,0.59,0.03,-0.95,0.02,0.3
1973,0.67,0.02,-1.08,0.01,0.27
1974,0.71,0.01,-1.18,0.02,0.29
