year,aircraft,electronics,motor,ordnance,ship
1958,0.39,-0.32,0.44,0.4,0.47
1959,0.43,-0.34,0.52,0.38,0.52
1960,0.44,-0.33,0.55,0.39,0.55
1961,0.45,-0.32,0.54,0.43,0.61
1962,0.48,-0.34,0.6,0.44,0.62
1963,0.49,-0.37,0.64,0.47,0.66
1964,0.49,-0.37,0.68,0.5,0.62
1965,0.53,-0.4,0.73,0.52,0.55
1966,0.59,-0.44,0.72,0.45,0.6
1967,0.62,-0.43,0.72,0.35,0.61
1968,0.61,-0.46,0.89,0.25,0.57
1969,0.67,-0.52,0.91,0.23,0.62
1970,0.75,-0.51,0.86,0.25,0.6
1971,0.75,-0.58,1.15,0.24,0.55
1972,0.84,-0.7,1.31,0.27,0.55
1973,0.93,-0.82,1.38,0.27,0.53
1974,0.99,-0.9,1.49,0.3,0.57
