year,aircraft,communication,electronics,ordnance,ship
1958,NA,NA,NA,NA,NA
1959,4.8,4.39,3.35,2.39,5.04
1960,3.05,2.52,4.32,3.11,3.69
1961,2.59,3.69,3.63,3.77,4.27
1962,3.61,2.37,2.5,2.91,2.73
1963,2.79,2.32,1.95,3.53,3.65
1964,2.37,3.4,3.35,3.41,0.96
1965,3.97,2.92,2.31,3.3,0.32
1966,5.41,3.19,3.17,1.28,5.06
1967,4.23,5.5,5.26,0.32,3.61
1968,4.93,5.21,6.25,2.52,4.07
1969,6.63,7.12,4.71,4.91,6.42
1970,6.48,4.62,6.74,5.56,3.94
1971,5.11,4.97,4.91,5.54,4.04
1972,7.64,7.63,4.01,7.09,5.83
1973,7.74,6.6,4.82,6.62,5.73
1974,7.78,7.8,7.67,8.28,8.03
