year,aircraft,communication,electronics,ordnance,ship
1958,40.5,40.5,39,40.8,39.1
1959,40.7,41.1,40,41.3,39.2
1960,40.9,40.4,39.5,40.9,39.3
1961,41.4,40.6,40.2,41.1,40
1962,41.8,41.3,40,41.2,40.4
1963,41.5,40.5,39.6,41.1,41
1964,41.4,40.9,39.9,40.5,40.7
1965,42,41.3,40.4,41.9,40.5
1966,43.3,41.7,40.4,42.2,41.5
1967,42.6,41.1,39.2,41.7,40.5
1968,42,40.8,39.5,41.5,40.5
1969,41.8,41.4,39.4,40.4,40.7
1970,41,41,38.9,40.5,39.9
1971,40.7,40.4,39.2,41.6,39.5
1972,41.6,40.6,40,42,39.6
1973,41.5,40.6,39.9,41.8,38.7
1974,40.5,40.2,39,41.7,38.1
