year,aircraft,communication,electronics,ordnance,ship
1958,0.12,0.34,0.73,0.63,1.39
1959,0.17,0.35,0.89,0.59,1.36
1960,0.16,0.34,0.69,0.5,1.52
1961,0.15,0.3,0.66,0.45,1.38
1962,0.17,0.29,0.71,0.45,1.4
1963,0.16,0.28,0.61,0.38,1.39
1964,0.15,0.24,0.64,0.37,1.54
1965,0.18,0.26,0.72,0.49,1.71
1966,0.21,0.34,0.77,0.57,2.02
1967,0.19,0.29,0.62,0.54,1.71
1968,0.18,0.29,0.63,0.56,1.91
1969,0.16,0.29,0.69,0.57,2.11
1970,0.12,0.26,0.52,0.45,1.66
1971,0.11,0.18,0.46,0.42,1.53
1972,0.14,0.21,0.62,0.49,1.52
1973,0.17,0.24,0.72,0.6,1.88
1974,0.15,0.24,0.58,0.51,1.69
