year,aircraft,electronics,motor,ordnance,ship
1958,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1959,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1960,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1961,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1962,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1963,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1964,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1965,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1966,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1967,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1968,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1969,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1970,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1971,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1972,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1973,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
1974,censusMIC,censusMIC,censusMIC,censusMIC,censusMIC
