year,aircraft,communication,electronics,ordnance,ship
1958,NA,NA,NA,NA,NA
1959,107.1,108.5,123.1,38.2,3.6
1960,93,121.9,131.3,42.3,3.5
1961,88.8,128.8,136.8,47,3.6
1962,92.1,146.8,153.9,51.2,3.5
1963,88.3,142.9,149.6,49.5,3.6
1964,80.3,134.4,151.5,44.2,3.7
1965,82.7,140.1,181,40.4,3.9
1966,107.3,162.2,233.6,52.8,4.5
1967,127,176.3,222.9,73.8,5.4
1968,128.4,179.8,215.5,87.1,5.5
1969,119.1,185.3,222.1,84.2,5.8
1970,94.6,179.5,195,61.4,5.6
1971,72.7,159.7,171.1,44.2,5.8
1972,70.7,158,193.1,42,6.8
1973,77.9,169.3,232.9,43.9,8.3
1974,83.6,171.1,235.8,43.1,10.3
