year,aircraft,communication,electronics,ordnance,ship
1958,NA,NA,NA,NA,NA
1959,14.86,31.94,57.71,18.77,3.06
1960,14.81,31.89,56.23,19.23,3.13
1961,14.56,31.83,56.3,19.25,3.1
1962,14.43,33,57.84,19.36,3.05
1963,13.81,32.79,56.99,18.64,3.12
1964,13.26,32.89,57.21,18.12,3.17
1965,13.25,33.61,58.94,17.89,3.03
1966,14.24,34.68,60.11,20.24,3.13
1967,15.24,34.51,57.91,23.27,3.86
1968,15.07,34.41,56.5,25.77,3.9
1969,14.81,35.21,56.37,26.63,4.08
1970,14.15,35.9,53.44,25.38,4.22
1971,13.63,35.72,52.84,23.17,4.44
1972,13.84,36.23,54.38,22.96,4.92
1973,14.63,37.48,55.69,24.04,5.77
1974,15.4,37.37,54.98,24.42,6.69
