year,aircraft,communication,electronics,ordnance,ship
1958,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA
1960,-0.35,-0.17,-2.57,2.43,2.18
1961,-1.67,-0.19,0.12,0.1,-0.87
1962,-0.95,3.68,2.73,0.61,-1.59
1963,-4.25,-0.62,-1.46,-3.72,2.06
1964,-3.98,0.31,0.39,-2.8,1.63
1965,-0.11,2.19,3.02,-1.27,-4.49
1966,7.51,3.17,1.99,13.11,3.57
1967,6.96,-0.5,-3.66,14.96,23.09
1968,-1.08,-0.28,-2.43,10.76,1.13
1969,-1.75,2.31,-0.23,3.34,4.71
1970,-4.45,1.97,-5.2,-4.68,3.32
1971,-3.64,-0.5,-1.12,-8.73,5.24
1972,1.53,1.43,2.91,-0.87,10.87
1973,5.67,3.45,2.41,4.7,17.14
1974,5.28,-0.28,-1.28,1.57,16.03
