year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,0.21,1.69,0.49,0.03,1.23,7.21,1.46,0.67,0.87,0.63,7.82,11.11
1959,0.21,1.4,0.08,0.02,0.47,4.1,0.8,0.47,0.74,0.34,7.74,10.92
1960,0.27,1.8,0.61,0.03,0.81,6.25,1.32,0.55,0.58,0.41,7.87,21.54
1961,0.21,1.42,0.28,0.02,0.7,8.4,1.07,0.57,0.71,0.29,7.41,12.54
1962,0.16,1.2,0.54,0.02,0.56,3.4,0.72,0.47,0.49,0.34,6.89,9.89
1963,0.17,0.9,0.33,0.02,0.8,2.9,0.61,0.41,0.32,0.45,7.1,6.57
1964,0.2,0.75,0.09,0.02,0.64,2.88,0.42,0.32,0.29,0.74,6.59,5.13
1965,0.11,0.73,0.22,0.01,0.26,1.13,0.31,0.23,0.32,0.35,4.5,4.19
1966,0.04,0.44,0.09,0.01,0.15,0.6,0.37,0.17,0.37,0.15,3.34,4.73
1967,0.6,0.63,0.16,0.01,0.42,1.59,0.48,0.24,0.4,0.22,3.86,2.83
1968,0.08,0.45,0.25,0.01,0.26,1.01,0.4,0.17,0.3,0.21,3.26,1.77
1969,0.12,0.37,0.05,0.01,0.2,1.19,0.3,0.14,0.32,0.38,2.61,2.2
1970,0.33,0.71,0.22,0.02,0.63,4.43,0.87,0.3,0.5,0.95,3.47,2.24
1971,0.36,0.95,0.6,0.02,0.37,3.56,0.64,0.24,0.28,0.89,4.06,1.14
1972,1.76,0.48,0.16,0.01,0.17,1.09,0.36,0.14,0.22,0.38,3.04,0.86
1973,0.13,0.36,0.08,0.01,0.1,0.6,0.17,0.13,0.13,0.55,2.29,1.43
1974,0.09,1.01,0.13,0.01,0.33,0.96,0.28,0.33,0.44,0.57,1.43,3.75
