year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,515.3,112.6,432.2,6579,133.9,35.2,162.7,298.7,452.5,82.4,103.1,23.6
1959,476.2,121.8,414.7,7033,160.9,37.3,181.5,321,537.5,98,97.1,28.9
1960,407.4,119.4,470.5,7028,170,34.5,173.3,318.5,563.3,101.9,92,26.2
1961,351.7,112.9,424.7,6618,176.7,31.3,156.6,303.9,479.1,110.6,96.3,24.3
1962,356.4,114.8,421.4,6935,198.2,33.1,163.7,319.6,534,119.3,96.4,28.6
1963,358.2,119.3,424.6,7027,192,33,168.2,324.1,573.6,115.2,97.4,34.8
1964,352.7,124.3,458.4,7213,194,33.7,181.9,337,579.2,104.1,97.9,41.8
1965,339.2,129.7,477.4,7715,232.6,36.2,194.6,357.4,658.9,96.1,108,47.1
1966,402.5,141.7,467.2,8370,297.9,40.8,205.8,382.5,670.3,127.3,119.5,52.2
1967,489.5,137.5,447.8,8364,280.1,40.6,195.3,374.9,626.9,174.1,114.8,55.3
1968,519.8,142.4,445.1,8457,270.1,39.8,189,389.7,680.8,191.7,115.4,71
1969,485.6,148.2,450,8651,276,40.7,197.6,401.6,708,181.8,115.7,87
1970,421.9,146.4,437.1,8042,244.9,37.6,190.2,378.8,604.2,131.5,106.7,91.5
1971,321.7,141,394.9,7622,215.5,35.8,180.2,379.1,651.3,95.8,104.7,108.6
1972,270,147.7,393.6,8005,240.2,37.1,184.9,416.2,668.6,91.3,109.8,135.5
1973,287.3,155.9,418.1,8691,284.3,40.8,200.7,442.2,743.4,92.1,114,137.3
1974,295.1,146.7,418.7,8641,284.2,42.4,207,423.1,682.3,84.9,121.2,103.4
