year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,1.9,1.6,0.8,1.9,1.1,NA,1.5,2,2.3,1.8,NA,2.1
1959,2.1,2,2.1,2.7,2,NA,2.7,2.8,3.1,2.2,NA,2.9
1960,2.2,1.6,1.2,2.4,1.6,NA,2.1,2.5,3.2,2,NA,1.7
1961,2.5,1.9,1.2,2.3,1.9,NA,2.1,2.4,2.6,1.9,NA,1.8
1962,2.9,1.9,1.3,2.8,2,NA,2.9,2.9,4.2,2.3,NA,2.5
1963,2.6,2.2,1.8,2.9,1.8,NA,3.7,3,4.4,2.4,NA,3.1
1964,2.5,2.2,2.3,3.3,2.1,NA,4.7,3.2,5,1.8,NA,3.2
1965,3.3,3,2.5,3.9,2.4,NA,5.5,3.6,6.2,3,NA,2.9
1966,5,3.4,2.4,4.3,3,NA,5.3,3.8,4.9,3.9,NA,2.7
1967,4.4,2.5,2,3.5,2,NA,4.2,3,3.4,3.8,NA,3
1968,3.8,2.9,2.8,3.8,2.1,NA,4.9,3.4,5.8,3.5,NA,3
1969,3.4,3,3,3.8,2.2,NA,5.1,3.3,4.2,2.5,NA,2.8
1970,2.7,2.4,2.2,3,1.7,NA,3.9,2.3,3.2,2.2,NA,2.2
1971,2.3,2.5,2.2,2.8,1.8,NA,3.7,2.6,3.7,2.6,NA,2.6
1972,3,2.9,2.4,3.6,2.7,NA,4.8,3.2,4.9,3.1,NA,3.1
1973,3.4,2.8,3.2,4.1,3,NA,6.2,3.1,5.9,3.3,NA,2.6
1974,3.2,2.3,3.2,3.4,2.2,NA,5,2.4,3.4,3.2,NA,2.2
