year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,107.1,31.3,20.6,1671,123.1,2.7,9.6,66.6,66.5,38.2,3.6,4.2
1960,93,30.9,22.2,1681,131.3,2.6,9.5,65,68.4,42.3,3.5,3.9
1961,88.8,29.1,20.4,1642,136.8,2.4,8.8,63.4,60.2,47,3.6,3.5
1962,92.1,30,19.9,1749,153.9,2.4,8.8,66.9,63.6,51.2,3.5,4
1963,88.3,31.7,18.8,1746,149.6,2.4,8.8,67.8,68.2,49.5,3.6,4.9
1964,80.3,32.6,19.1,1756,151.5,2.2,8.9,71.5,67.4,44.2,3.7,5.7
1965,82.7,35.1,19.6,1889,181,2.3,10,77.5,69.6,40.4,3.9,6.1
1966,107.3,41,19.9,2182,233.6,2.6,11.6,92.5,73.7,52.8,4.5,7.3
1967,127,40.4,20.5,2277,222.9,3,12.2,98,72,73.8,5.4,8.5
1968,128.4,42.1,20.7,2338,215.5,3.1,11.5,107,71.4,87.1,5.5,11.1
1969,119.1,47.3,21.5,2446,222.1,3,11.7,116.8,76.5,84.2,5.8,13.7
1970,94.6,47.9,21.9,2278,195,2.9,11.9,111.8,70.7,61.4,5.6,15.2
1971,72.7,45.6,20.1,2111,171.1,2.6,10.7,115,72.6,44.2,5.8,17.3
1972,70.7,49.8,18.8,2259,193.1,2.4,10.2,130.2,75.7,42,6.8,22.8
1973,77.9,57,20.3,2547,232.9,2.7,12,146.6,92.6,43.9,8.3,26.6
1974,83.6,58,22.1,2606,235.8,3,13.6,146.1,87.4,43.1,10.3,22.6
