year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,14.86,19.94,4,17.83,57.71,5.83,4.53,17.3,9.61,18.77,3.06,12.07
1960,14.81,19.88,3.85,17.77,56.23,6.02,4.64,16.97,9.45,19.23,3.13,12
1961,14.56,19.64,3.87,18.1,56.3,6.11,4.71,17.25,9.52,19.25,3.1,11.55
1962,14.43,19.96,3.81,18.45,57.84,5.83,4.55,17.37,9.19,19.36,3.05,11.3
1963,13.81,20.39,3.62,18.16,56.99,5.8,4.44,17.39,9.2,18.64,3.12,11.5
1964,13.26,20.32,3.43,17.89,57.21,5.29,4.19,17.62,8.95,18.12,3.17,11.24
1965,13.25,21.23,3.38,18.15,58.94,5.22,4.41,17.99,8.26,17.89,3.03,10.65
1966,14.24,22.79,3.48,19.34,60.11,5.24,4.82,20.04,8.55,20.24,3.13,11.51
1967,15.24,23.11,3.69,19.91,57.91,5.98,5.27,21.52,8.83,23.27,3.86,12.65
1968,15.07,23.48,3.73,20.11,56.5,6.26,5.1,22.69,8.17,25.77,3.9,13.12
1969,14.81,25.31,3.83,20.56,56.37,5.93,4.98,24.14,8.39,26.63,4.08,13.09
1970,14.15,26.06,4.01,20.35,53.44,6.12,5.2,24.31,8.87,25.38,4.22,13.64
1971,13.63,25.5,4.04,19.92,52.84,5.79,4.91,24.95,8.62,23.17,4.44,13.12
1972,13.84,26.79,3.82,20.53,54.38,5.25,4.59,25.86,8.91,22.96,4.92,14
1973,14.63,29.04,3.92,21.51,55.69,5.42,5.03,27.38,9.69,24.04,5.77,15.86
1974,15.4,30.83,4.23,21.91,54.98,5.76,5.5,28.28,9.81,24.42,6.69,17.3
